순위,제목,저자,출판사,요약
28,경험과 사례로 풀어낸 성공하는 애자일(애자일 시리즈 11),마이크 콘,인사이트,"애자일 실천을 위한 스크럼 심화 가이드 『경험과 사례로 풀어낸 성공하는 애자일』. 이 책은 스크럼을 어떻게 조직에 소개하고 확산시킬 것인가, 프로젝트 초반 설계 단계에서 큰 그림을 그릴 수 있도록 팀원을"
29,English for Developers: IT 트렌드로 배우는 개발자 영어 독해,박재호,한빛미디어,"『English for Developers: IT 트렌드로 배우는 개발자 영어 독해』는 개발자에게 가장 중요한 독해 능력을 최대한 원상 복구하여, 영문 기사 등 IT 관련 문서를 빠르게 읽을 수 있는 기본기를 익힐 수 있도록"
30,애자일 회고(애자일 시리즈 5),에스더 더비,인사이트,"모든 팀 리더와 희의 진행자(facilitator)의 필독서. '회고'는 이터레이션이나 프로젝트 말미, 혹은 프로젝트 중간 목표를 달성한 후 점검 차 팀원들이 그동안의 행적을 돌이켜보고 자료를 수집하여 문제점을"
31,소프트웨어 개발 보안 실무,John Viega,도서출판 홍릉(홍릉과학출판사),▶ 이 책은 소프트웨어 개발 보안 실무에 대해 다룬 도서입니다. 소프트웨어 개발 보안 실무의 기초적이고 전반적인 내용을 학습할 수 있도록 구성했습니다.
32,시스템 성능 분석과 최적화(위키북스 시스템 & 네트워크 시리즈 2),브렌든 그레그,위키북스,"『시스템 성능 분석과 최적화』는 엔터프라이즈나 클라우드 환경을 운용하는 사람, 즉 시스템, 네트워크, 데이터베이스나 웹 관리자, 개발자 및 기타 기술자들에 필요한 책이다. 저자는 베어메탈 시스템부터"
33,따라하며 배우는 도커와 CI 환경(위키북스 시스템 & 네트워크 시리즈 11),안재원,위키북스,"이 책의 전반부에서는 도커 컨테이너와 도커 이미지가 무엇인지부터 도커 컴포즈까지 도커에 관해 알아봅니다. 다양한 도해와 함께 설명함으로써 도커를 더욱더 쉽게 이해할 수 있고, 깊이 있게 공부할 수"
34,타입스크립트 마스터 2/e(acorn+Packt),나단 로젠탈,에이콘출판,"타입스크립트는 마이크로소프트에서 대규모 자바스크립트 개발을 위해 만든 언어로, 자바스크립트를 만들어내는 컴파일러다. 자바스크립트를 생성하기 때문에 기존 자바스크립트 라이브러리나 프레임워크를"
35,AWS를 통한 효과적인 데브옵스 구축(2판)(클라우드 컴퓨팅),요게쉬 라헤자,에이콘출판,"테라폼, 앤서블, 깃허브, AWS 코드 파이프라인 등을 활용한 데브옵스 구축을 위한 지침서이다. 1판에서는 트로포스피어(Troposphere)라는 파이썬 라이브러리를 이용한 클라우드 포메이션 스크립트 생성으로"
36,gRPC 시작에서 운영까지(클라우드 컴퓨팅),카순 인드라시리,에이콘출판,"클라우드 및 마이크로서비스 아키텍처의 출현으로 오늘날 애플리케이션은 프로세스간 통신 기술을 사용해 연결되며, gRPC는 가장 널리 사용되는 효율적인 통신 기술 중 하나이다. 이 책은 gRPC를 처음 시작하는"
37,예제로 배우는 도커 2/e,이안 미엘,에이콘출판,"도커의 간단한 아이디어, 즉 애플리케이션과 애플리케이션의 의존 라이브러리를 배포 가능한 하나의 컨테이너에 패키징하는 것이 소프트웨어 산업에서 큰 반향을 일으켰다. 이제 컨테이너는 엔터프라이즈 인프라에"
38,클라우드 컴퓨팅 솔루션 아키텍팅(클라우드 컴퓨팅),케빈 잭슨,에이콘출판,"클라우드 도입은 디지털 전환의 핵심 요소다. 기업에서는 사업 환경에 따라 IT 환경을 탄력적으로 확장, 축소하고 싶어하고, 그와 더불어 IT 투자/운영 비용도 절감하길 원한다. 이 책은 올바른 클라우드 서비스"
39,데브옵스 도입 전략(소프트웨어 아키텍처),산지브 샤르마,에이콘출판,기업이 마주하고 있는 조직 내 다양한 상황별로 어떻게 데브옵스를 도입하면 좋을지 전략을 제시한다. 또한 작은 규모의 기업뿐 아니라 대규모 기업에서는 어떻게 데브옵스를 도입하면 좋을지 다룬다. 비즈니스
40,쉽게 배워 바로 써먹는 디자인 패턴,이호진,한빛미디어,"■객체지향 프로그래밍 설계 원칙, 패턴을 알면 개발이 보인다
디자인 패턴은 어느 날 갑자기 생겨난 방식이 아니다. 객체지향 개발 과정에서 겪는 다양한 이슈를 종합해보면 서로 비슷한 유형의 문제다."
41,쿠버네티스 모범 사례,브렌던 번스,한빛미디어,"이 책은 쿠버네티스 창시자인 브렌던 번스와 분산 시스템, 기업용 애플리케이션 개발, 오픈 소스에 조예가 깊은 세 명의 쿠버네티스 전문가가 함께 썼다. 현업에서 쌓은 경험을 바탕으로 쿠버네티스를 성공적으로"
42,개발자에서 아키텍트로,마이클 킬링,한빛미디어,"이 책은 개발자에서 아키텍트로, 변화의 첫걸음을 내딛는 이를 위한 실전 입문서다. 설계를 위한 필수 지식, 아키텍처 패턴, 모델, 설계 방법론, 커뮤니케이션 노하우를 상세히 소개한다. 문제 상황에서 팀원들과"
43,인클루시브 디자인 패턴,헤이던 피커링,웹액츄얼리코리아,"한 명의 사용자도 놓치지 않으려면 어떻게 해야 할까?
《인클루시브 디자인 패턴(Inclusive Design Patterns)》이 그 대안이 되어줄 것이다.

인클루시브 디자인은 사용자가 겪을 수 있는 모든 상황과 조건을"
44,좀비 아포칼립스(제이펍의 로봇 시리즈 8),사이먼 몽크,제이펍,"하드웨어 해커이자 좀비학자인 사이먼 몽크의 최신작 《좀비 아포칼립스》에서는 Z-데이에서 살아남기 위해 전기를 직접 만드는 법, 버려진 부품을 재활용하는 법, 필수 전자 장치를 만드는 법, 좀비를 물리치고"
45,IT에 몸담은 이들을 위한 지적 생산 기술,돈 그리피스,제이펍,"우리는 일을 할 때 생산적이면서 가치가 높아지는 방안에 대해 끊임없이 고민합니다. 이 책은 그 고민에 대한 해결책으로, 엔지니어의 프로그래밍과 글쓰기라는 예를 통해 지적 생산 기술을 제안합니다. 아울러"
46,15단계로 배우는 도커와 쿠버네티스(I♥Cloud 제이펍의 클라우드 시리즈 20),타카라 마호,제이펍,"이 책은 컨테이너 기술에 처음 입문하는 독자도 체계적으로 실력을 쌓아갈 수 있도록 도커부터 시작하여 쿠버네티스의 전반적인 기능을 기초부터 단계별로 학습할 수 있도록 구성되어 있다.
독자는 이 책을 통해"
47,클라우드 네이티브 인프라스트럭처,저스틴 개리슨,책만,"사람이 직접 일일이 설정하지 않고도 애플리케이션으로 인프라스트럭처를 자동화해 관리하는 'IT 인프라 기술 혁명'의 미래는 이미 다가와 있다. 고 가용성과 확장성, 신뢰성을 보장하는 클라우드"
48,쉽게 배우는 Jira Project 애자일 칸반,안재성,제이에스캠퍼스,『쉽게 배우는 Jira Project 애자일 칸반』 은 초보자도 Jira를 쉽게 애자일 프로젝트 관리에 사용할 수 있도록 Jira 사용법과 애자일 칸반 방법론 그리고 프로젝트 관리개념을 함께 모아 설명한 책이다. 이론과
