순위,제목,저자,출판사,요약
11,이펙티브 자바 3/E,조슈아 블로크,인사이트,자바 6 출시 직후 출간된 『이펙티브 자바 2판』 이후로 자바는 커다란 변화를 겪었다. 그래서 졸트상에 빛나는 이 책도 자바 언어와 라이브러리의 최신 기능을 십분 활용하도록 내용 전반을 철저히 다시 썼다.
12,혼자 공부하는 C 언어(혼자 공부하는 시리즈),서현우,한빛미디어,"혼자 해도 충분하다! 1:1 과외하듯 배우는 C 프로그래밍 자습서
이 책은 독학으로 C 언어를 배우는 입문자가 ‘꼭 필요한 내용을 제대로’ 학습할 수 있도록 구성했다. ‘무엇을’ ‘어떻게’ 학습해야 할지조차"
13,"일잘러의 비밀, 엑셀 대신 파이썬으로 업무 자동화하기",포스코인재창조원,한빛미디어,"지금까지 엑셀을 잘만 써 왔는데, 왜 다들 파이썬을 하라는 걸까요? 엑셀은 사무 업무에 최적화된 프로그램이지만 대용량 데이터를 처리하거나 반복 업무를 자동화하는 데는 한계가 있습니다. 파이썬을 사용하면"
14,Do it! 알고리즘 코딩 테스트: 자바 편,김종관,이지스퍼블리싱,“코딩 테스트는 어떻게 준비해야 할까?” 곧 코딩 테스트를 앞두고 있거나 올해 안에 IT 기업으로 취업 또는 이직을 준비하고 있다면 누구나 이런 고민을 할 것이다. 《Do it! 알고리즘 코딩 테스트 - 자바
15,쏙쏙 들어오는 함수형 코딩,에릭 노먼드,제이펍,"함수형 프로그래밍은 절차적 프로그래밍, 객체 지향 프로그래밍과는 다른 새로운 방식의 프로그래밍이다. 따라서 함수형 프로그래밍을 배운다는 것은 새로운 방식으로 사고하는 방법을 배우는 것이다. 그렇다면"
16,Java의 정석: 기초편 세트(전2권),남궁성,도우출판,"교육현장에서 뒤쳐지는 학생들을 위해 쓰고, 학생들에게 직접 검증받고 호평받은 책. 코딩을 처음 배우는 사람도 자바를 쉽게 배울수 있게 도와준다."
17,Do it! 쉽게 배우는 파이썬 데이터 분석,김영우,이지스퍼블리싱,"데이터 분석 분야의 명강사이며 이 분야 베스트셀러 저자인 김영우 선생님의 강의가 책으로 나왔다. 통계, 프로그래밍, 데이터 분석을 전혀 몰라도 《Do it! 쉽게 배우는 파이썬 데이터 분석》을 통해 최근"
18,객체지향의 사실과 오해(위키북스 IT Leaders 23),조영호,위키북스,『객체지향의 사실과 오해』는 객체지향이란 무엇인가라는 원론적면서도 다소 위험한 질문에 답하기 위해 쓰여진 책이다. 안타깝게도 많은 사람들이 객체지향의 본질을 오해하고 있다. 가장 널리 퍼져있는 오해는
19,파이썬 알고리즘 인터뷰,박상길,책만,"세계 최고 온라인 문제 풀이 사이트인 리트코드(LeetCode)의 기출문제 풀이와 분석! 200여 개가 넘는 일러스트를 통해 알고리즘과 자료구조 이론을 한눈에 쉽게 익힐 수 있음은 물론, 파이썬으로 구현하는 코드"
20,CODE(Program Programming Programmer 6),찰스 펫졸드,인사이트,"[CODE]는 다른 사람들과 의사소통하기 위하여 언어를 조작하고 새로운 의미를 만들어내는 독창적인 방법들을 소개한다. 또한 다른 사람들과 의사소통을 하려는 인간의 강렬한 욕망이 어떻게, 지난 두 세기 동안"
21,윤성우의 열혈 C++ 프로그래밍(개정판 2판),윤성우,오렌지미디어,"『C++ 프로그래밍』은 C언어를 이해하고 있다는 가정하에서 집필된 C++ 기본서로서, 초보자에게 적절한 설명과 예제를 통해서 C++ 프로그래밍에 대해 설명한다. 더불어 실력향상을 돕는 연습문제와 OOP 단계별"
22,윤성우의 열혈 C 프로그래밍(개정판),윤성우,오렌지미디어,"윤성우 열형강의『C 프로그래밍』은 C언어에 대한 기본을 배울 수 있는 개론서이다. 이 책은 총 4개의 파트로 구성이 되어 있다. C언어의 기본이 되는 내용들을 다루고 배열과 포인트에 대해서 다루고 구조체,"
23,파이썬 머신러닝 완벽 가이드(2판)(위키북스 데이터 사이언스 시리즈 81),권철민,위키북스,"《파이썬 머신러닝 완벽 가이드》는 이론 위주의 머신러닝 책에서 탈피해, 다양한 실전 예제를 직접 구현해 보면서 머신러닝을 체득할 수 있도록 만들었습니다. 캐글과 UCI 머신러닝 리포지토리에서 난이도가 있는"
24,파이썬 자동화 교과서,구지라 히코즈쿠에,제이펍,"사람이 종일 작업할 반복 업무를 프로그래밍을 이용하면 2시간 만에 끝낼 수 있다. 파이썬은 누구나 입문할 수 있는 프로그래밍 언어로, 이 책은 엑셀 데이터 처리 등 일상적인 업무를 파이썬으로 자동화하는"
25,혼자 공부하는 자바,신용권,한빛미디어,"혼자 해도 충분하다! 1:1 과외하듯 배우는 자바 프로그래밍 자습서 (JAVA 8 &11 지원) 
이 책은 독학으로 자바를 배우는 입문자가 ‘꼭 필요한 내용을 제대로’ 학습할 수 있도록 구성했다. ‘무엇을’"
26,실용주의 프로그래머(20주년 기념판)(Program Programming Programmer),데이비드 토머스,인사이트,"《실용주의 프로그래머》는 당신이 읽고, 또 읽고, 수년간 또다시 읽게 될 몇 안 되는 기술 서적이다. 당신이 이 분야에 처음 발을 디딘 사람이건, 경험 많은 전문가이건 매번 새로운 통찰을 얻게 될"
27,Do it! 지옥에서 온 문서관리자 깃&깃허브 입문,이고잉,이지스퍼블리싱,"대학생, 개발자, 일반 사무직까지! 문서 지옥에 빠진 모두를 위한 깃&깃허브 입문서가 나왔습니다. 일반 사람들에게 쉽게 프로그래밍을 알려 주는 ‘생활코딩’의 깃&깃허브 관련 강의에서 52개를 엄선해"
28,오브젝트(IT Leaders 29),조영호,위키북스,객체지향으로 향하는 첫걸음은 클래스가 아니라 객체를 바라보는 것에서부터 시작한다. 객체지향으로 향하는 두번째 걸음은 객체를 독립적인 존재가 아니라 기능을 구현하기 위해 협력하는 공동체의 존재로
29,스프링 마이크로서비스 코딩 공작소(2판),존 카넬,길벗,"마이크로서비스는 서비스 개발, 그 이상(클라우드, 인프라, 자동화, 테스팅, 회복성, 보안, 인증, 로깅, 모니터링, 배포 등)을 필요로 한다. 클라우드를 사용하면 안정성, 생산성, 확장성, 유지 보수 등 여러 가지"
30,Do it! 자료구조와 함께 배우는 알고리즘 입문: 자바 편,시바타 보요,이지스퍼블리싱,자료구조와 알고리즘은 국내외 IT 기업의 면접과 코딩 테스트에서 중요한 역량입니다. 이는 단순히 개념만 이해한다고 해서 바로 실전에 사용하기가 힘듭니다. 하나하나 자신의 손으로 코딩하고 결과를 확인해
31,쉽고 빠른 플러터 앱 개발,권태형,비제이퍼블릭,"1. 개념은 빠르고 정확하게, 실습은 쉽고 재미있게! 
필요한 개념들만 배워 시간을 절약할 수 있습니다. 플러터를 활용할 때 알아야하는 내용만 빠르게 배우고, 바로 실전에 적용할 수 있습니다. 앱을 만들며"
32,서비스 운영이 쉬워지는 AWS 인프라 구축 가이드(위키북스 클라우드 컴퓨팅 시리즈 4),김담형,위키북스,"AWS와 서비스 운영에 첫걸음을 내디딜 수 있게 도와준다!
서비스 개발과 인프라 관리를 담당하는 실무자의 운영 노하우를 배우자!

이 책은 AWS나 클라우드 환경에 익숙하지 않은 분들이 AWS 서비스를 잘"
33,"팀 개발을 위한 Git, GitHub 시작하기",정호영,한빛미디어,"이 책은 시나리오를 곁들인 실습으로 시작해서 깃과 깃허브를 처음 접하는 사람 또는 좀 더 깊은 난이도에서 깃과 깃허브를 다루고 싶은 개발자, 디자이너, 기획자 모두에게 유용합니다. 

챕터 0장에서"
34,이것이 C# 이다,박상현,한빛미디어,『뇌를 자극하는 C# 4.0』을 시작으로 2011년부터 꾸준히 개정하며 독자의 신뢰를 쌓아온 『이것이 C#이다』이 C# 9.0 버전에 맞춰 코드와 내용을 개정해 돌아왔다. C#과 닷넷 세계에 처음 입문하는 독자를
35,파이썬을 활용한 베이지안 통계(전면개정판 2판),앨런 B. 다우니,한빛미디어,"베이지안으로 생각하고 프로그래밍하라
베이지안 통계를 마주하는 데는 프로그래밍으로 충분하다. 이 책을 읽고 나면 통계 문제를 수식 대신 파이썬 코드로, 연속 확률 분포 대신 이산 확률 분포를 사용해서 풀 수"
36,Do it! 점프 투 파이썬: 라이브러리 예제 편,박응용,이지스퍼블리싱,"이 책은 《Do it! 점프 투 파이썬》의 박응용 저자가 그동안 수많은 독자에게 받았던 ‘이제 무엇을 공부해야 할까요?’, ‘파이썬으로 무엇을 해볼 수 있을까요?’와 같은 질문에 대한 대답이다. 파이썬의 가장"
37,백엔드를 위한 Django REST Framework with 파이썬,권태형,영진닷컴,"수많은 기업이나 팀에서 코딩을 필수 덕목으로 특히, 파이썬 언어를 사용할 수 있는 사람들을 우대할 정도로 파이썬의 인기는 나날이 높아지고 있다. 이는 파이썬이 난이도가 비교적 쉽고 활용 가능한 분야가 많기"
38,이것이 자바다,신용권,한빛미디어,『이것이 자바다』은 15년 이상 자바 언어를 교육해온 자바 전문강사의 노하우를 아낌 없이 담아낸 자바 입문서이다. 자바 입문자를 배려한 친절한 설명과 배려로 1장에 풀인원 설치 방법을 제공하여 쉽게
39,Do it! 자료구조와 함께 배우는 알고리즘 입문: 파이썬 편,시바타 보요,이지스퍼블리싱,자료구조와 알고리즘은 국내외 IT 기업의 면접과 코딩 테스트에서 중요하게 생각하는 역량입니다. 자료구조와 알고리즘은 단순히 개념만 이해한다고 해서 바로 실전에 사용하기는 힘듭니다. 하나하나 자신의
40,코틀린 완벽 가이드,알렉세이 세두노프,길벗,"코틀린 현업 개발자인 저자와 역자의 노하우가 듬뿍 들어간, 최신 코틀린 종합 가이드!  
 
코틀린의 기초, 심화, 활용을 한 권에 담았다. 코틀린 언어의 기초 개념과 핵심 문법, 기능을 소개하고(기초), 더"
41,독하게 시작하는 C 프로그래밍,최호성,루비페이퍼,[독하게 시작하는 C 프로그래밍]은 C 언어 문법이나 함수 사용법보다는 프로그래밍 기법을 익히는 데 중점을 둔 책이다.
42,코딩 인터뷰 완전 분석(프로그래밍인사이트),게일 라크만 맥도웰,인사이트,이 책의 저자는 구인 담당자가 아니라 소프트웨어 엔지니어다. 지원자로서도 면접관으로서도 코딩 면접을 겪어 본 적이 있기 때문에 지원자가 면접을 앞두고 무엇을 준비해야 하는지 잘 알고 있다. 수백 명의
43,개발자 상식,박민경,로드북,"이 책을 한 줄로 정의하면 ‘개발자가 되기 위해 기본적으로 알아야 할 I T 기술, 환경에 관한 넓고 얕은 지식’이다. 어렵게 머리를 싸매고 읽어야 하는 부담스러운 IT 책이 아닌, 개발자가 알아야 하는 꼭"
44,도메인 주도 설계로 시작하는 마이크로서비스 개발(위키북스 IT Leaders 시리즈 33),한정헌,위키북스,"넷플릭스, 우버, 아마존, 쿠팡 등의 대규모 인터넷 서비스를 제공하는 회사들의 애플리케이션은 어떤 구조로 만들어졌을까? 가상화되고 유연하게 변경되는 클라우드 인프라에 최적화된 애플리케이션 형태는"
45,스위프트 프로그래밍: Swift 5(3판),야곰,한빛미디어,스위프트 5의 핵심 키워드는 ‘안정화’다. ABI 안정화 덕분에 버전과 환경에 크게 영향받지 않고 더 유연하게 스위프트를 사용할 수 있게 되었다. 최신 패러다임과 다양한 언어의 기능을 흡수하여 언어 전반에
46,Do it! C언어 입문,김성엽,이지스퍼블리싱,결과만 알고 쓰는 사람은 원리를 알고 쓰는 사람을 절대 따라잡을 수 없다. C 언어를 처음 시작하는 출발선은 같지만 C 언어 문법 하나하나가 왜 만들어졌는지 원리를 이해하고 코딩하면 다르다. 프로그래머 취업
47,이펙티브 코틀린(프로그래밍인사이트),마르친 모스칼라,인사이트,"이 책은 더 나은 코틀린 개발자가 될 수 있도록 도움을 주는 안내서입니다. 코틀린에 어떤 기능이 있는지, 어떤 표준 라이브러리가 있는지 알고 있다고 코틀린을 강력하고 실용적으로 사용할 수 있는 것은"
48,0부터 시작하는 OS 자작 입문(프로그래밍 언어),우치다 코타,에이콘출판,"OS 구동부터 애플리케이션 실행까지 C++로 OS를 제작하는 전반적인 방법을 다룬다. 단계별로 안내하고 있어 OS 개발 초보자도 따라 하며 진행할 수 있다. 용어의 의미도 함께 설명돼 있다. 
이 책은 UEFI BIOS로"
49,파이썬 라이브러리를 활용한 데이터 분석(2판),웨스 맥키니,한빛미디어,"이 책은 NumPy, pandas, matplotlib, IPython, Jupyter 등 다양한 파이썬 라이브러리를 사용해서 효과적으로 데이터를 분석하는 방법을 알려준다. pandas의 새로운 기능뿐만 아니라 메모리 사용량을 줄이고 성능을"
50,모던 자바 인 액션,라울-게이브리얼 우르마,한빛미디어,"자바 1.0이 나온 이후 18년을 통틀어 가장 큰 변화가 자바 8 이후 이어지고 있다. 자바 8 이후 모던 자바를 이용하면 기존의 자바 코드 모두 그대로 쓸 수 있으며, 새로운 기능과 문법, 디자인 패턴으로 더"
51,Do it! 자바 프로그래밍 입문,박은종,이지스퍼블리싱,"비전공자, 문과생도 무릎을 ‘탁!’ 치며 이해하는 20년 경력 명강사의 자바 강의! 프로그래머를 꿈꾸는 사람의 인생 과제인 자바를 135개 그림과 240개 예제로 더욱 쉽게 배웁니다. 프로그래밍 입문서 최강자 Do"
52,Do it! 장고+부트스트랩 파이썬 웹 개발의 정석,이성용,이지스퍼블리싱,"이 책은 블로그 웹 사이트를 만드는 실습을 진행하면서 웹 개발 기초부터 블로그 개발, 배포, 운영까지 한 번에 다룹니다. 이 과정에서 HTML, CSS, 자바스크립트부터 부트스트랩, 파이썬 웹 프레임워크"
53,6개월 치 업무를 하루 만에 끝내는 업무 자동화,반병현,생능출판,"이 책에서는 일반인들이 실제 업무에 활용할 수 있는 다양한 자동화 도구들을 소개하며, 그 사용 방법을 실습형 예제로 제공하고 있다. 프로그래밍에 대한 지식이 없거나 자동화의 원리를 모두 이해하지는 못한"
54,파이썬 텍스트 마이닝 완벽 가이드(위키북스 데이터 사이언스 시리즈 77),박상언,위키북스,"텍스트 마이닝에는 자연어 처리, 통계, 딥러닝 기법에 대해 많은 지식이 필요하지만, 이론적인 내용에 얽매이다 보면 정작 구현은 너무 먼 이야기가 되어 버리기 쉽다.

이 책에서는 실무에 바로 적용할 수 있는"
55,파이썬 객체지향 프로그래밍 4/e,스티븐 로트,에이콘출판,"객체지향의 기본 개념부터 시작해 객체지향 디자인을 포괄적으로 다룬다. 타입 힌트를 사용하는 방법, 클래스들 간의 다양한 관계를 활용해야 할 시기와 방법, 추상화 및 파이썬 데이터 구조를 통해 디자인을"
56,파이썬 증권 데이터 분석,김황후,한빛미디어,"이 책은 웹 스크레이핑으로 증권 데이터를 주기적으로 자동 수집, 분석, 자동 매매, 예측하는 전 과정을 파이썬으로 직접 구현한다. 그 과정에서 금융 데이터 처리 기본 라이브러리(팬더스)부터 주가 예측에"
57,실전 카프카 개발부터 운영까지,고승범,책만,"국내 최초이자 유일한 컨플루언트 공인 아파치 카프카 강사(Confluent Certified Trainer for Apache Kafka)와 공인 관리자 자격(Confluent Certified Administrator for Apache Kafka)을 보유한 『카프카, 데이터"
58,스프링 인 액션(전면개정판 5판),크레이그 월즈,제이펍,이 책에서는 스프링 5와 스프링 부트 2를 사용해서 애플리케이션을 개발하는 데 필요한 여러  핵심 기능을 알려줍니다. 스프링 5에서는 특히 새로운 리액티브 웹 프레임워크인 WebFlux를 중점적으로 다룹니다.
59,"좋은 코드, 나쁜 코드",톰 롱,제이펍,"이 책의 가장 큰 특징은 나쁜 코드가 왜 나쁜 코드인지 설명하고, 나쁜 코드를 좋은 코드로 바꿔가는 과정을 직접 보여주는 것이다. 이를 통해 독자는 좋은 코드와 나쁜 코드를 구분할 줄 알고, 이론으로 배운"
60,Python을 이용한 개인화 추천 시스템(2판),임일,청람,"이 책의 가장 중요한 목적은 독자들이 주요 개인화 추천 알고리즘의 작동원리를 이해하도록 하는 것이다. 이를 위해 이 책에서는 개인화 추천 기술의 전반적인 내용, 그중에서도 특히 연속값을 사용하는 개인화"
61,Easy ABAP 2.0(전면개정판),김성준,프리렉,"기본 이론과 실무 예제로 새롭게 꾸민『Easy ABAP 2.0』. 기본 이론과 예제 프로그램의 실습으로 단계적으로 ABAP 프로그램을 완성해갈 수 있도록 구성된 교재이다. 이론 부분은 1장 ~ 11장으로 구성되며, ABAP의"
62,C++ STL(뇌를 자극하는),공동환,한빛미디어,인생은 '재미'와 '행복' 중심이 되어야 한다고 믿는 평범한 개발자 공동환의 『뇌를 자극하는 C++ STL』. C++ 입문자를 대상으로 STL의 동작 원리와 구현 원리를 학습하면서 핵심 원리를 터득하도록 구성한 C++
63,프로그래머의 길 멘토에게 묻다,데이브 후버,인사이트,"견습 프로그래머가 숙련 프로그래머로 성장하는 과정을 알려주는 가이드 『프로그래머의 길, 멘토에게 묻다』. 경험이 많지 않은 프로그래머들이 소프트웨어 개발 분야에서 경력을 쌓고, 탁월한 개발자가 될 수"
64,C & JAVA 프로그래밍 입문.1,김석현,삼양애드,"『C JAVA 프로그래밍 입문』은 프로그래밍을 위한 입문서이다. 이 책은 문제 해결 관점에서 프로그래밍을 하는 방법을 소개하고, 몇 가지의 예제를 통해 문제를 해결하는 방식을 제시했다. 이 책에 제시된 문제"
65,백견불여일타 스프링 부트 쇼핑몰 프로젝트 with JPA,변구훈,로드북,스프링 부트와 JPA를 활용하여 실제 이커머스 업계에서 활용되는 쇼핑몰 기술들을 직접 구현해볼 수 있게 구성하였다. JPA와 Thymeleaf에 대한 간단한 예제로 기본 개념과 사용법을 익히고 그 후 쇼핑몰의
66,모두의 깃&깃허브,강민철,길벗,"""여러 사람과 협업하고 있는데, 코드 관리는 어떻게 해야 하지?""
""내 코드를 예전 버전으로 되돌리고 싶어!""
""코드를 백업하고 싶어. 그리고 여러 버전으로 나누어 관리하는 기능도 필요해!""

이 모든 상황의"
67,파이썬 for Beginner(3판),우재남,한빛아카데미,"일단 따라하면 바로 이해되는 파이썬 프로그래밍
파이썬을 처음 접하는 독자를 대상으로 일대일 수업처럼 자세히 설명한 책입니다.
꼭 알아야 할 핵심 개념은 기본 예제로 최대한 쉽게 설명했으며, 중요한"
68,파이썬 GUI 프로그래밍 쿡북(3판),부르크하르트 메이어,에이콘출판,"파이썬 3를 사용해 GUI 프로그래밍 방법을 단계별로 설명한다. 2판의 레시피를 개선해 해당 라이브러리가 왜 필요하고, 어떻게 사용하는지 다양한 분야의 새로운 개념을 쉽게 이해할 수 있도록 설명한다. GUI 관련"
69,쉽게 따라 만드는 파이썬 주식 자동매매 시스템,박준성,길벗,"이 책은 파이썬을 이용하여 주식 자동매매 시스템을 만드는 모든 과정을 자세히 소개한다. 개발 환경을 구축하고, 프로젝트를 만드는 데 필요한 기초 파이썬 문법은 물론 증권 데이터를 주고받기 위해 키움증권"
70,구글 앱스 스크립트 완벽 가이드,다카하시 노리아키,한빛미디어,"온라인 협업 도구로 구글 워크스페이스가 많이 쓰이고 있는 가운데 구글 스프레드시트에 대한 인기가 뜨겁다. 하지만 구글 워크스페이스에는 스프레드시트만 있는 게 아니다! 지메일, 드라이브, 캘린더, 문서,"
71,테라폼 업앤러닝,예브게니 브릭만,루비페이퍼,"이 책은 예제 소개를 뛰어넘어 실제 환경에서 테라폼을 사용하는 방법에 중점을 두고 만들어졌다. 외국어에 능통해지려면 원어민과 대화하고, 외국어 TV 쇼를 보고, 외국 음악을 듣는데 시간을 투자해야 한다."
72,깡쌤의 안드로이드 프로그래밍 with 자바,강성윤,쌤즈,안드로이드 12 버전의 릴리즈에 발맞춰 「깡쌤의 안드로이드 프로그래밍 with 자바」가 새롭게 준비되었다. 안드로이드 앱 개발의 시작인 사용자 인터페이스의 기본 구조부터 컴포넌트의 개념과 구글 기본 앱과의
73,흥달쌤의 문풀 프로그래밍 언어,이흥직,에듀콕스,"- 시험 대비용 교재로, 정보처리기사/산업기사/기능사, 전산직 컴퓨터일반, 사무자동화 산업기사를 준비하시는 분들을 위한 교재이다.
- 시험에 나오는 프로그래밍 언어는 C, JAVA, Python, HTML 정도가 출제가"
74,Effective C++(3판),스콧 마이어스,프로텍미디어,[Effective C++]은 C++ 프로그래밍과 설계 기술을 향상시켜 주는 55가지 명쾌한 테크닉을 모은 책이다.
75,김변수와 시작하는 코딩생활 with 파이썬,코뮤니티 운영진(휴몬랩),영진닷컴,"〈코뮤니티〉 모각코 수강생이 만족한 ‘파이썬 기본: 기초 문법’ 과정이 드디어 책으로 나왔습니다. 코딩 학습이 처음이라 막막한 분, 시작 단계에서 어려움을 느끼는 분들을 위해 쉽고 재밌게, 알차게 구성한"
76,C++ 기초 플러스(6판),Stephen Prata,성안당,"〈C++ 기초 플러스〉는 현재까지 가장 알차게 만들어진 C++ 입문서라는 좋은 평가를 받고 있다. 이 책은 유명한 스테판 프라타 교수의 〈C++ 기초 플러스〉 6판의 4쇄이며, 기존 번역판의 독자로부터 지적된"
77,코드 한 줄 없이 시작하는 MicroSoft RPA 파워 오토메이트,김성준,프리렉,"어렵고 복잡한 코딩을 배워야만 업무 자동화가 가능할까요? 프로그래밍 경험이 없는 사용자가 개발자의 지원없이 스스로 개발할 수 있습니다. 업무 자동화가 필요하거나 반복되는 수작업이 간혹 생긴다면, 혹은 좀"
78,Effective Modern C++(이펙티브 모던 C++),스콧 마이어스,인사이트,"[Effective Modern C++(이펙티브 모던 C++)]은 C++11과 C++14를 이용해서, 즉 현대적인 C++을 이용해서 진정으로 훌륭한 소프트웨어를 작성하는 방법을 설명한다. 책에서는 중괄호 초기치, noexcept 명세, 완벽"
79,"밑바닥부터 만드는 컴퓨팅 시스템(Program, Programming, Programmer 10)",노암 니산,인사이트,▶ 이 책은 프로그래밍을 다룬 이론서입니다. 프로그래밍의 기초적이고 전반적인 내용을 학습할 수 있습니다.
80,컴파일러 개발자가 들려주는 C 이야기,페터르 판데르린던,인사이트,《컴파일러 개발자가 들려주는 C 이야기》는 최고의 C 프로그래머들이 사용한 코딩 테크닉을 보여준다. 이러한 코딩 기법과 전략은 다른 프로그래밍 언어에도 적용할 수 있다. 저자는 썬 마이크로시스템즈의
81,웹 크롤링 & 데이터 분석 with 파이썬,장철원,인사이트,내가 좋아하는 스포츠 팀의 성적 데이터를 자동으로 가져와 분석해 봅시다. 최근에 부동산 가격이 올라가는 지역이 어딘지 궁금하다면 공공 사이트에서 데이터를 가져와 분석해 봅시다. 주식 정보는 어떤가요?
82,C++ Programming(명품)(개정판),황기태,생능출판,"C++는 1979년 Bjarne Stroustrup에 의해 “C with Classes”라는 이름으로 시작되었지만, 지금은 시스템 소프트웨어, 응용 소프트웨어, 게임, 임베디드 소프트웨어, 모바일 프로그램 등 소프트웨어의 전 분야에"
83,자바 웹 프로그래밍 Next Step,박재성,로드북,"웹 개발의 초보개발자를 대상으로 웹 서버, 프레임워크 등을 직접 제작해보고 테스트와 리팩토링을 통해 점진적 개선을 해나가면서 실무에 필요한 개발 능력과 웹에 대한 이해력을 높여주는 『자바 웹 프로그래밍"
84,스프링 입문을 위한 자바 객체 지향의 원리와 이해(위키북스 오픈소스 & 웹 시리즈 69),김종민,위키북스,이 책은 자바에서 스프링으로 나아가기 위한 연결 고리를 제공한다.
85,시작하세요! C# 9.0 프로그래밍: 기본 문법부터 실전 예제까지(위키북스 프로그래밍 & 프랙티스 시리즈 28),정성태,위키북스,이 책의 목표는 확실하다. 여러분이 프로그램을 만들고자 할 때 사용하게 될 C# 프로그래밍 언어의 기초를 단단하게 다질 수 있게 하는 것이다. 이 책에서는 C# 언어의 최신 버전인 C# 9.0의 문법까지 설명하고
86,모두의 파이썬(개정판 2판),이승찬,길벗,"파이썬 분야 & 어린이 코딩 교육 분야
2년 연속 베스트셀러! 개정판 출간!

즐겁게 시작하는 나의 첫 프로그래밍!
프로그래밍을 한 번도 해본 적이 없어도 괜찮다. 파이썬이 무엇인지 몰라도 상관 없다."
87,파이썬 코딩 도장,남재윤,길벗,"외우기만 해서는 파이썬도 어렵다!
프로그래밍은 연습으로 배우는 것!
문법을 외우기만 해서는 파이썬도 배우기 어렵다. 프로그래밍은 개념을 습득하고, 개념을 이해한 다음에 자신만의 프로그램을 만들면서"
88,모두의 데이터 분석 with 파이썬,송석리,길벗,"“서울이 가장 더웠던 날은 언제였을까?”
“우리 동네에는 남성과 여성 중 어떤 성별이 더 많이 살고 있을까?”
”출근 시간대 사람들이 가장 많이 타고 내리는 역은 어디일까?“

데이터 분석의 시작은 관심"
89,"도커, 쿠버네티스, 테라폼으로 구현하는 마이크로서비스",애슐리 데이비스,에이콘출판,"마이크로서비스는 더 이상 일부 전문가만을 위한 영역이 아니며, 작은 프로젝트를 위한 개념도 아니다. 주요 클라우드 서비스인 AWS, 애저, 구글 모두 적극적으로 지원하는 소프트웨어와 인프라의 설계 방법이다."
